GeneID,GeneSymbol,Entity,Study group,Method,Metric,Value
ENSG00000243772,KIR2DL3,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,2
ENSG00000166351,POTED,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000166351,POTED,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000166351,POTED,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000166351,POTED,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000166351,POTED,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000166351,POTED,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000155495,MAGEC1,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,9
ENSG00000155495,MAGEC1,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,16
ENSG00000155495,MAGEC1,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,20
ENSG00000155495,MAGEC1,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,16
ENSG00000155495,MAGEC1,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,16
ENSG00000092068,SLC7A8,MPN,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000258992,TSPY1,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,5
ENSG00000258992,TSPY1,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,6
ENSG00000258992,TSPY1,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,7
ENSG00000258992,TSPY1,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,6
ENSG00000258992,TSPY1,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,6
ENSG00000258992,TSPY1,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,2
ENSG00000205277,MUC12,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000205277,MUC12,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000205277,MUC12,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000205277,MUC12,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000205277,MUC12,MPN,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000167633,KIR3DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,6
ENSG00000167633,KIR3DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,8
ENSG00000167633,KIR3DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,9
ENSG00000167633,KIR3DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>2,8
ENSG00000167633,KIR3DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>4,8
ENSG00000167633,KIR3DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000167633,KIR3DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000167633,KIR3DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000167633,KIR3DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000167633,KIR3DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000167633,KIR3DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000167633,KIR3DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000167633,KIR3DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000168757,TSPY2,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,5
ENSG00000168757,TSPY2,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,5
ENSG00000168757,TSPY2,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,7
ENSG00000168757,TSPY2,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,5
ENSG00000168757,TSPY2,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,5
ENSG00000168757,TSPY2,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000145113,MUC4,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000145113,MUC4,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,3
ENSG00000145113,MUC4,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,4
ENSG00000145113,MUC4,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,3
ENSG00000145113,MUC4,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,3
ENSG00000145113,MUC4,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000145113,MUC4,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000145113,MUC4,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000145113,MUC4,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000205097,FRG2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000205097,FRG2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000205097,FRG2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000205097,FRG2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000205097,FRG2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000205097,FRG2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000233803,TSPY4,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000233803,TSPY4,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,2
ENSG00000233803,TSPY4,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000233803,TSPY4,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,2
ENSG00000233803,TSPY4,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,2
ENSG00000233803,TSPY4,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000105877,DNAH11,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000105877,DNAH11,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000105877,DNAH11,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000105877,DNAH11,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000105877,DNAH11,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000105877,DNAH11,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000197444,OGDHL,AML,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000197444,OGDHL,AML,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000197444,OGDHL,AML,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000197444,OGDHL,AML,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000197444,OGDHL,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,2
ENSG00000197444,OGDHL,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,2
ENSG00000197444,OGDHL,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,3
ENSG00000197444,OGDHL,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,2
ENSG00000197444,OGDHL,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,2
ENSG00000183117,CSMD1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,7
ENSG00000183117,CSMD1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,8
ENSG00000183117,CSMD1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,8
ENSG00000183117,CSMD1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,8
ENSG00000183117,CSMD1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,8
ENSG00000183117,CSMD1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000183117,CSMD1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,7
ENSG00000183117,CSMD1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,10
ENSG00000183117,CSMD1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,11
ENSG00000183117,CSMD1,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,10
ENSG00000183117,CSMD1,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,10
ENSG00000157423,HYDIN,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000157423,HYDIN,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000157423,HYDIN,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000157423,HYDIN,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000157423,HYDIN,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000228927,TSPY3,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,5
ENSG00000228927,TSPY3,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,6
ENSG00000228927,TSPY3,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,7
ENSG00000228927,TSPY3,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,6
ENSG00000228927,TSPY3,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,6
ENSG00000228927,TSPY3,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000137877,SPTBN5,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,2
ENSG00000137877,SPTBN5,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,3
ENSG00000137877,SPTBN5,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,3
ENSG00000137877,SPTBN5,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,3
ENSG00000137877,SPTBN5,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,3
ENSG00000125498,KIR2DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,6
ENSG00000125498,KIR2DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,7
ENSG00000125498,KIR2DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,9
ENSG00000125498,KIR2DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>2,7
ENSG00000125498,KIR2DL1,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>4,6
ENSG00000125498,KIR2DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000125498,KIR2DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000125498,KIR2DL1,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000125498,KIR2DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,3
ENSG00000125498,KIR2DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,3
ENSG00000125498,KIR2DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,5
ENSG00000125498,KIR2DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,3
ENSG00000125498,KIR2DL1,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,3
ENSG00000102962,CCL22,MCL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000102962,CCL22,MCL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000102962,CCL22,MCL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000102962,CCL22,MCL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000102962,CCL22,MCL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000053747,LAMA3,AML,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,2
ENSG00000053747,LAMA3,AML,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,2
ENSG00000053747,LAMA3,AML,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000053747,LAMA3,AML,"",NB-act,Number of samples predicted when filtering for zScore>2,2
ENSG00000053747,LAMA3,AML,"",NB-act,Number of samples predicted when filtering for zScore>4,2
ENSG00000053747,LAMA3,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,6
ENSG00000053747,LAMA3,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,8
ENSG00000053747,LAMA3,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,9
ENSG00000053747,LAMA3,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,8
ENSG00000053747,LAMA3,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,8
ENSG00000261150,EPPK1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000261150,EPPK1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000261150,EPPK1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000261150,EPPK1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000261150,EPPK1,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000261150,EPPK1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,2
ENSG00000261150,EPPK1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,4
ENSG00000261150,EPPK1,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,4
ENSG00000261150,EPPK1,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,4
ENSG00000261150,EPPK1,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,2
ENSG00000261150,EPPK1,aCML,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000261150,EPPK1,aCML,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000261150,EPPK1,aCML,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000261150,EPPK1,aCML,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000261150,EPPK1,aCML,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000183303,OR5P2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,15
ENSG00000183303,OR5P2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,22
ENSG00000183303,OR5P2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,26
ENSG00000183303,OR5P2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,22
ENSG00000183303,OR5P2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,22
ENSG00000183303,OR5P2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>6,22
ENSG00000132688,NES,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000132688,NES,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000132688,NES,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000132688,NES,B-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000132688,NES,HCL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000132688,NES,HCL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000132688,NES,HCL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000132688,NES,HCL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000132688,NES,MGUS,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000132688,NES,MGUS,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000132688,NES,MGUS,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000132688,NES,MGUS,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000132688,NES,MGUS,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000132688,NES,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,54
ENSG00000132688,NES,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,61
ENSG00000132688,NES,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,66
ENSG00000132688,NES,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,61
ENSG00000132688,NES,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,36
ENSG00000087128,TMPRSS11E,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000087128,TMPRSS11E,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000087128,TMPRSS11E,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000087128,TMPRSS11E,B-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000087128,TMPRSS11E,B-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000087128,TMPRSS11E,B-NHL,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000087128,TMPRSS11E,MGUS,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000087128,TMPRSS11E,MGUS,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000087128,TMPRSS11E,MGUS,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000087128,TMPRSS11E,MGUS,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000087128,TMPRSS11E,MGUS,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000087128,TMPRSS11E,MGUS,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000087128,TMPRSS11E,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,14
ENSG00000087128,TMPRSS11E,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,18
ENSG00000087128,TMPRSS11E,MM,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,19
ENSG00000087128,TMPRSS11E,MM,"",NB-act,Number of samples predicted when filtering for zScore>2,18
ENSG00000087128,TMPRSS11E,MM,"",NB-act,Number of samples predicted when filtering for zScore>4,18
ENSG00000087128,TMPRSS11E,MM,"",NB-act,Number of samples predicted when filtering for zScore>6,15
ENSG00000087128,TMPRSS11E,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000087128,TMPRSS11E,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000087128,TMPRSS11E,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000087128,TMPRSS11E,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000087128,TMPRSS11E,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000087128,TMPRSS11E,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>6,1
ENSG00000087128,TMPRSS11E,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,3
ENSG00000087128,TMPRSS11E,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,3
ENSG00000087128,TMPRSS11E,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,3
ENSG00000087128,TMPRSS11E,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,3
ENSG00000087128,TMPRSS11E,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,3
ENSG00000087128,TMPRSS11E,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>6,3
ENSG00000096696,DSP,CLL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,2
ENSG00000096696,DSP,CLL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,2
ENSG00000096696,DSP,CLL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000096696,DSP,CLL,"",NB-act,Number of samples predicted when filtering for zScore>2,2
ENSG00000096696,DSP,CLL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000096696,DSP,HGBL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000096696,DSP,HGBL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000096696,DSP,HGBL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000096696,DSP,HGBL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000096696,DSP,HGBL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000096696,DSP,HCL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,5
ENSG00000096696,DSP,HCL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,7
ENSG00000096696,DSP,HCL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,9
